Victoria in Future 2019 (VIF2019) Population and Household Projections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact: David Sykes (DELWP) 03 8683 0936 | david.sykes@delwp.vic.gov.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Households by household type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data for Statistical Areas from Level 2 to Level 4 (SA2, SA3, SA4), Greater Capital City Statistical Areas (GCCSA) and Victoria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,As at June 30th 2016,,,,,,,,As at June 30th 2021,,,,,,,,As at June 30th 2026,,,,,,,,As at June 30th 2031,,,,,,,,As at June 30th 2036,,,,,,
2GMEL,213,21301,213011340,SA2,Taylors Lakes,"3,118","1,405",588,67,60,718,"5,957",,"2,965","1,736",576,67,64,817,"6,225",,"2,858","2,004",582,59,63,947,"6,514",,"2,810","2,170",608,53,58,"1,081","6,780",,"2,805","2,216",658,49,51,"1,216","6,995"
2GMEL,213,21302,213021341,SA2,Altona,"1,605","1,539",530,76,208,"1,775","5,732",,"1,722","1,613",562,79,216,"1,842","6,033",,"1,801","1,679",593,81,223,"1,895","6,270",,"1,855","1,771",625,89,237,"1,976","6,553",,"1,905","1,906",648,98,256,"2,073","6,886"
2GMEL,213,21302,213021342,SA2,Altona Meadows,"2,676","1,818","1,049",117,232,"1,752","7,644",,"2,682","1,999","1,072",113,230,"1,898","7,993",,"2,659","2,128","1,103",113,224,"2,035","8,262",,"2,616","2,238","1,134",117,227,"2,167","8,498",,"2,592","2,331","1,170",121,237,"2,266","8,718"
2GMEL,213,21302,213021343,SA2,Altona North,"1,723","1,419",750,127,228,"1,540","5,787",,"1,937","1,499",821,138,246,"1,655","6,297",,"2,351","1,703",988,161,290,"1,893","7,387",,"2,758","1,941","1,154",188,341,"2,152","8,533",,"3,076","2,197","1,311",212,389,"2,403","9,588"
2GMEL,213,21302,213021344,SA2,Newport,"2,609","1,789",714,104,338,"1,715","7,270",,"2,764","1,926",783,109,343,"1,881","7,805",,"2,855","2,061",854,119,353,"2,052","8,294",,"2,913","2,244",929,132,392,"2,261","8,871",,"2,964","2,493",995,143,437,"2,487","9,518"
2GMEL,213,21302,213021345,SA2,Seabrook,887,420,228,23,39,260,"1,856",,882,495,230,23,43,283,"1,956",,884,537,250,21,42,306,"2,041",,882,582,278,22,43,326,"2,134",,899,609,321,23,42,336,"2,231"
2GMEL,213,21302,213021346,SA2,Williamstown,"2,370","1,536",582,85,133,"1,755","6,461",,"2,397","1,794",605,98,149,"1,952","6,996",,"2,395","2,013",615,109,159,"2,165","7,455",,"2,426","2,184",642,115,164,"2,357","7,888",,"2,508","2,310",668,121,167,"2,537","8,312"
2GMEL,213,21303,213031347,SA2,Braybrook,"2,046","1,378","1,030",210,564,"1,768","6,997",,"2,380","1,581","1,162",226,597,"1,990","7,936",,"2,764","1,749","1,338",241,624,"2,242","8,958",,"3,131","1,898","1,547",261,669,"2,533","10,038",,"3,485","2,095","1,787",281,726,"2,877","11,251"
2GMEL,213,21303,213031348,SA2,Footscray,"1,366","1,800",590,198,"1,089","2,539","7,581",,"1,921","2,434",795,251,"1,387","3,385","10,172",,"2,784","3,228","1,174",319,"1,729","4,694","13,928",,"3,537","3,819","1,556",370,"2,002","5,850","17,135",,"4,113","4,265","1,910",403,"2,178","6,833","19,702"
2GMEL,213,21303,213031349,SA2,Maribyrnong,"1,611","1,326",407,116,446,"1,188","5,095",,"1,880","1,566",471,130,497,"1,379","5,922",,"2,398","1,956",611,153,580,"1,724","7,422",,"2,962","2,374",771,178,666,"2,112","9,064",,"3,396","2,718",912,191,713,"2,420","10,350"
2GMEL,213,21303,213031350,SA2,Seddon - Kingsville,"1,229","1,033",326,55,331,"1,155","4,129",,"1,284","1,098",357,57,340,"1,255","4,392",,"1,333","1,155",385,60,346,"1,341","4,619",,"1,390","1,240",419,67,387,"1,464","4,966",,"1,458","1,376",453,72,424,"1,602","5,385"
2GMEL,213,21303,213031351,SA2,West Footscray - Tottenham,"1,363","1,170",472,95,461,"1,334","4,896",,"1,555","1,316",502,104,504,"1,442","5,423",,"1,748","1,409",543,108,512,"1,533","5,853",,"1,926","1,474",595,113,532,"1,644","6,285",,"2,069","1,567",670,117,565,"1,786","6,773"
2GMEL,213,21303,213031352,SA2,Yarraville,"2,065","1,673",520,101,447,"1,499","6,305",,"2,233","1,837",575,111,488,"1,649","6,893",,"2,440","2,042",640,124,529,"1,841","7,617",,"2,634","2,278",709,140,589,"2,062","8,411",,"2,844","2,570",785,152,644,"2,322","9,315"
2GMEL,213,21304,213041353,SA2,Bacchus Marsh,"2,839","2,031","1,004",56,157,"1,811","7,898",,"3,367","2,475","1,182",65,184,"2,196","9,469",,"3,891","2,855","1,372",74,206,"2,572","10,970",,"4,404","3,247","1,580",86,234,"2,966","12,517",,"4,944","3,710","1,803",95,266,"3,376","14,194"
2GMEL,213,21304,213041355,SA2,Hillside,"3,630","1,431",727,84,73,708,"6,653",,"4,653","1,975",945,113,96,954,"8,736",,"6,324","2,735","1,290",148,130,"1,322","11,949",,"8,679","3,869","1,801",196,177,"1,859","16,581",,"11,092","5,099","2,357",245,226,"2,439","21,458"
2GMEL,213,21304,213041356,SA2,Melton,"2,333","1,666","1,235",95,234,"1,729","7,293",,"2,486","1,910","1,331",104,254,"1,987","8,071",,"2,564","2,082","1,390",110,266,"2,216","8,628",,"2,643","2,259","1,459",115,279,"2,465","9,220",,"2,771","2,475","1,547",122,296,"2,711","9,921"
2GMEL,213,21304,213041357,SA2,Melton South,"3,112","1,958","1,330",127,290,"1,803","8,621",,"4,610","2,611","1,873",175,399,"2,423","12,091",,"6,267","3,322","2,563",227,528,"3,200","16,107",,"7,872","4,182","3,324",292,682,"4,092","20,444",,"9,418","5,247","4,077",361,845,"5,067","25,015"
2GMEL,213,21304,213041358,SA2,Melton West,"2,456","1,374","1,078",68,175,"1,032","6,184",,"2,958","1,690","1,318",83,209,"1,282","7,540",,"3,218","1,868","1,470",91,226,"1,449","8,321",,"3,453","2,058","1,619",100,246,"1,620","9,095",,"3,771","2,348","1,791",113,277,"1,823","10,124"
2GMEL,213,21304,213041359,SA2,Rockbank - Mount Cottrell,240,204,91,4,33,225,797,,"2,063",929,397,39,68,400,"3,896",,"4,643","1,859",944,79,139,855,"8,518",,"7,594","3,173","1,674",135,231,"1,516","14,324",,"10,659","4,910","2,510",203,341,"2,366","20,989"
2GMEL,213,21304,213041360,SA2,Taylors Hill,"3,616","1,025",577,45,50,538,"5,850",,"3,724","1,150",666,45,50,623,"6,258",,"3,602","1,340",716,50,57,698,"6,463",,"3,472","1,661",745,60,67,783,"6,788",,"3,418","2,070",741,62,73,866,"7,230"
2GMEL,213,21304,213041461,SA2,Burnside,759,331,183,7,13,299,"1,592",,804,398,203,7,16,344,"1,772",,888,485,221,8,18,397,"2,017",,912,540,228,8,18,433,"2,140",,929,582,236,8,19,459,"2,233"
2GMEL,213,21304,213041462,SA2,Burnside Heights,"1,156",268,249,24,26,102,"1,825",,"1,217",304,290,24,23,126,"1,984",,"1,243",367,328,28,25,147,"2,138",,"1,238",453,361,34,32,172,"2,291",,"1,207",542,387,34,39,219,"2,429"
2GMEL,213,21304,213041463,SA2,Caroline Springs,"3,439","1,270",782,71,134,913,"6,610",,"3,510","1,456",859,69,137,"1,062","7,095",,"3,410","1,692",903,74,145,"1,219","7,444",,"3,242","1,999",908,83,157,"1,380","7,769",,"3,118","2,330",892,86,161,"1,538","8,124"
2GMEL,213,21305,213051361,SA2,Hoppers Crossing - North,"3,065","1,443",956,78,131,"1,104","6,778",,"3,078","1,721",992,79,134,"1,248","7,252",,"3,092","1,951","1,031",77,133,"1,395","7,679",,"3,121","2,130","1,077",75,129,"1,537","8,069",,"3,167","2,254","1,139",76,126,"1,696","8,457"
2GMEL,213,21305,213051362,SA2,Hoppers Crossing - South,"2,772","1,705",971,77,220,"1,308","7,053",,"2,824","1,900","1,016",75,218,"1,466","7,498",,"2,827","2,031","1,080",74,207,"1,619","7,838",,"2,831","2,129","1,168",74,207,"1,759","8,167",,"2,850","2,251","1,238",78,213,"1,891","8,521"
2GMEL,213,21305,213051363,SA2,Laverton,"1,278",719,375,70,204,595,"3,241",,"1,841",937,506,88,251,768,"4,393",,"2,088",949,622,81,211,906,"4,858",,"2,164",979,770,89,206,"1,076","5,285",,"2,149","1,109",909,108,246,"1,290","5,812"
2GMEL,213,21305,213051365,SA2,Tarneit,"6,116","2,050","1,154",99,200,"1,163","10,783",,"9,344","2,949","1,806",145,299,"1,743","16,286",,"12,380","3,844","2,541",189,391,"2,342","21,687",,"15,138","4,913","3,309",244,508,"3,016","27,127",,"17,877","6,380","4,087",310,648,"3,829","33,130"
2GMEL,213,21305,213051366,SA2,Truganina,"3,831","1,518",629,95,222,761,"7,056",,"5,748","2,162","1,174",111,280,"1,309","10,784",,"6,443","2,545","1,619",130,331,"1,725","12,794",,"6,382","3,002","1,867",158,406,"2,041","13,857",,"6,214","3,588","2,045",184,486,"2,310","14,828"
2GMEL,213,21305,213051368,SA2,Werribee - South,"1,472","1,186",557,49,140,"1,256","4,660",,"2,720","1,832",621,68,136,998,"6,375",,"3,551","2,078",748,74,155,"1,120","7,725",,"4,396","2,241",924,78,166,"1,234","9,039",,"5,232","2,459","1,161",89,187,"1,366","10,492"
2GMEL,213,21305,213051369,SA2,Wyndham Vale,"3,560","1,614","1,268",87,207,"1,263","8,000",,"4,944","2,216","1,791",120,290,"1,775","11,136",,"6,536","2,969","2,441",162,388,"2,410","14,905",,"8,065","3,833","3,101",204,489,"3,114","18,805",,"9,608","4,881","3,769",247,602,"3,891","22,998"
2GMEL,213,21305,213051464,SA2,Point Cook - East,"2,222",945,399,38,102,365,"4,071",,"3,376","1,494",604,61,167,569,"6,271",,"3,691","1,655",685,51,144,598,"6,824",,"3,674","1,813",738,53,147,619,"7,043",,"3,566","2,141",788,62,170,677,"7,404"
2GMEL,213,21305,213051465,SA2,Point Cook - North,"4,204","1,521",767,72,180,886,"7,631",,"4,274","1,744",876,86,194,"1,052","8,226",,"4,147","1,997",928,98,210,"1,192","8,572",,"4,000","2,310",954,110,233,"1,329","8,935",,"3,952","2,615",957,109,242,"1,462","9,337"
2GMEL,213,21305,213051466,SA2,Point Cook - South,"2,755",945,401,47,128,431,"4,707",,"3,777","1,195",600,60,161,582,"6,374",,"4,140","1,302",812,66,153,687,"7,161",,"4,412","1,697","1,050",97,223,894,"8,373",,"4,636","2,340","1,199",131,319,"1,119","9,744"
2GMEL,213,21305,213051467,SA2,Werribee - East,"2,580","1,547","1,233",105,245,"1,814","7,525",,"2,602","1,717","1,256",107,246,"1,967","7,895",,"2,634","1,849","1,289",106,242,"2,114","8,234",,"2,676","1,953","1,341",109,248,"2,267","8,595",,"2,765","2,063","1,422",117,260,"2,428","9,054"
2GMEL,213,21305,213051468,SA2,Werribee - West,"1,702","1,166",583,31,138,973,"4,593",,"2,768","1,757",897,50,206,"1,465","7,144",,"4,334","2,424","1,387",69,288,"2,086","10,589",,"5,989","3,169","1,955",92,381,"2,756","14,341",,"7,602","4,058","2,539",116,490,"3,493","18,299"
2GMEL,214,21401,214011370,SA2,Carrum Downs,"2,721","1,732","1,303",101,311,"2,107","8,276",,"2,832","2,002","1,397",107,330,"2,452","9,120",,"2,908","2,241","1,469",111,347,"2,777","9,854",,"2,975","2,474","1,552",118,365,"3,094","10,578",,"3,061","2,709","1,644",125,383,"3,399","11,321"
2GMEL,214,21401,214011371,SA2,Frankston,"2,275","2,302","1,548",147,539,"3,728","10,539",,"2,413","2,495","1,639",154,561,"4,013","11,276",,"2,540","2,655","1,732",159,577,"4,276","11,939",,"2,659","2,823","1,844",168,608,"4,556","12,657",,"2,786","3,032","1,965",178,642,"4,886","13,490"
2GMEL,214,21401,214011372,SA2,Frankston North,"1,867","1,920","1,554",152,388,"2,486","8,367",,"1,907","1,989","1,577",146,380,"2,596","8,595",,"1,941","2,055","1,620",145,376,"2,722","8,860",,"1,979","2,156","1,693",152,391,"2,877","9,249",,"2,035","2,309","1,774",164,414,"3,054","9,750"
2GMEL,214,21401,214011373,SA2,Frankston South,"2,664","1,992",713,44,116,"1,747","7,277",,"2,686","2,109",720,45,118,"1,813","7,491",,"2,719","2,193",729,46,120,"1,873","7,680",,"2,774","2,262",741,49,122,"1,938","7,887",,"2,865","2,347",764,52,125,"1,989","8,141"
2GMEL,214,21401,214011374,SA2,Langwarrin,"3,515","2,238","1,169",102,195,"1,924","9,144",,"3,645","2,555","1,221",105,207,"2,162","9,896",,"3,747","2,811","1,261",104,211,"2,375","10,509",,"3,824","2,992","1,309",106,214,"2,567","11,011",,"3,911","3,182","1,373",111,220,"2,765","11,562"
2GMEL,214,21401,214011375,SA2,Seaford (Vic.),"1,933","1,787","1,043",88,286,"2,616","7,753",,"2,024","1,883","1,097",87,292,"2,762","8,145",,"2,117","1,981","1,161",90,300,"2,912","8,561",,"2,210","2,116","1,255",100,322,"3,128","9,131",,"2,314","2,309","1,343",106,347,"3,388","9,806"
2GMEL,214,21401,214011376,SA2,Skye - Sandhurst,"2,179","1,148",533,48,86,586,"4,580",,"2,213","1,307",579,51,92,686,"4,928",,"2,198","1,473",617,53,96,786,"5,222",,"2,185","1,627",662,57,100,888,"5,519",,"2,197","1,780",702,60,104,979,"5,821"
2GMEL,214,21402,214021377,SA2,Dromana,"1,172","1,780",537,24,121,"1,459","5,092",,"1,279","2,073",594,27,137,"1,677","5,787",,"1,348","2,297",636,29,145,"1,855","6,309",,"1,437","2,495",689,30,153,"2,030","6,835",,"1,548","2,681",752,32,163,"2,192","7,368"
2GMEL,214,21402,214021378,SA2,Flinders,725,889,148,6,18,494,"2,280",,697,979,151,5,17,521,"2,370",,701,"1,052",155,4,16,543,"2,472",,708,"1,101",164,4,16,571,"2,564",,729,"1,134",177,4,15,589,"2,647"
2GMEL,214,21402,214021379,SA2,Hastings - Somers,"2,600","2,547","1,155",75,241,"2,512","9,129",,"2,695","2,980","1,211",81,258,"2,901","10,125",,"2,805","3,353","1,265",84,269,"3,262","11,038",,"2,947","3,699","1,337",87,284,"3,616","11,969",,"3,136","4,040","1,431",91,299,"3,974","12,971"
2GMEL,214,21402,214021380,SA2,Mornington,"2,685","3,275","1,206",91,261,"3,412","10,931",,"2,686","3,716","1,249",96,277,"3,844","11,868",,"2,711","4,114","1,280",104,292,"4,243","12,745",,"2,802","4,479","1,314",110,309,"4,605","13,619",,"2,962","4,795","1,372",113,322,"4,918","14,482"
2GMEL,214,21402,214021381,SA2,Mount Eliza,"2,838","2,004",501,38,87,"1,187","6,656",,"2,854","2,097",514,43,92,"1,252","6,852",,"2,905","2,188",530,46,96,"1,306","7,071",,"2,994","2,262",543,52,101,"1,351","7,304",,"3,122","2,340",561,54,103,"1,382","7,561"
2GMEL,214,21402,214021382,SA2,Mount Martha,"2,840","2,174",632,25,69,"1,525","7,265",,"2,931","2,394",670,29,77,"1,669","7,768",,"3,033","2,661",707,32,85,"1,848","8,366",,"3,210","2,945",735,38,94,"2,039","9,060",,"3,486","3,228",776,41,101,"2,188","9,820"
2GMEL,214,21402,214021383,SA2,Point Nepean,"1,828","2,784",817,62,184,"2,635","8,310",,"1,870","2,964",839,65,190,"2,773","8,702",,"1,899","3,117",869,68,193,"2,914","9,060",,"1,930","3,238",898,72,198,"3,047","9,382",,"1,980","3,355",928,78,201,"3,156","9,699"
2GMEL,214,21402,214021384,SA2,Rosebud - McCrae,"1,984","2,997","1,147",78,252,"3,558","10,016",,"2,070","3,270","1,192",84,268,"3,810","10,693",,"2,181","3,532","1,252",90,282,"4,063","11,400",,"2,311","3,800","1,327",96,300,"4,319","12,153",,"2,468","4,060","1,413",102,315,"4,581","12,940"
2GMEL,214,21402,214021385,SA2,Somerville,"2,513","1,973",910,50,137,"1,522","7,105",,"2,578","2,247",939,52,144,"1,712","7,672",,"2,656","2,462",979,54,146,"1,887","8,184",,"2,746","2,623","1,038",54,144,"2,045","8,650",,"2,861","2,753","1,104",54,145,"2,191","9,109"
2RVIC,215,21501,215011386,SA2,Ararat,731,967,380,40,126,"1,127","3,372",,753,"1,030",388,43,133,"1,203","3,550",,779,"1,069",396,44,136,"1,266","3,689",,799,"1,087",414,43,134,"1,310","3,787",,810,"1,091",424,41,129,"1,350","3,845"
2RVIC,215,21501,215011387,SA2,Ararat Region,380,517,77,5,19,407,"1,404",,377,507,75,4,21,397,"1,381",,363,491,75,4,21,390,"1,344",,354,475,74,3,21,391,"1,318",,354,459,73,4,20,387,"1,297"
2RVIC,215,21501,215011388,SA2,Horsham,"1,764","2,040",793,71,198,"2,356","7,221",,"1,760","2,136",783,70,190,"2,435","7,375",,"1,779","2,232",790,73,189,"2,547","7,610",,"1,803","2,330",811,78,201,"2,694","7,917",,"1,839","2,416",833,81,210,"2,845","8,223"
2RVIC,215,21501,215011389,SA2,Horsham Region,450,444,96,2,13,389,"1,393",,414,437,91,2,13,392,"1,349",,393,425,85,2,13,377,"1,295",,377,394,80,2,13,373,"1,238",,371,348,81,2,13,354,"1,169"
2RVIC,215,21501,215011390,SA2,Nhill Region,740,"1,036",219,27,75,"1,043","3,139",,692,"1,022",204,25,72,"1,013","3,028",,663,"1,001",191,24,71,991,"2,940",,636,952,183,21,65,955,"2,812",,601,884,176,19,59,910,"2,649"
2RVIC,215,21501,215011391,SA2,St Arnaud,324,501,132,8,39,583,"1,586",,306,488,132,6,36,569,"1,537",,289,462,122,5,35,560,"1,472",,269,419,115,5,32,530,"1,370",,245,373,112,5,29,491,"1,255"
2RVIC,215,21501,215011392,SA2,Stawell,826,"1,153",319,31,140,"1,213","3,683",,775,"1,173",305,32,136,"1,249","3,670",,750,"1,186",296,30,130,"1,290","3,681",,733,"1,173",293,28,125,"1,328","3,680",,719,"1,152",291,26,119,"1,350","3,657"
2RVIC,215,21501,215011393,SA2,West Wimmera,317,419,71,10,11,466,"1,295",,281,397,62,10,12,448,"1,210",,258,368,57,9,11,424,"1,127",,244,331,55,9,10,390,"1,039",,241,284,53,10,9,358,955
2RVIC,215,21501,215011394,SA2,Yarriambiack,635,971,275,12,78,"1,080","3,050",,598,955,263,12,74,"1,068","2,970",,576,905,255,11,71,"1,037","2,856",,565,842,252,12,69,999,"2,738",,560,769,244,9,66,949,"2,597"
2RVIC,215,21502,215021395,SA2,Irymple,994,777,214,11,38,556,"2,589",,"1,008",853,218,12,41,603,"2,734",,"1,012",903,216,11,43,638,"2,822",,"1,039",935,218,10,44,676,"2,923",,"1,086",956,226,11,45,720,"3,043"
2RVIC,215,21502,215021396,SA2,Merbein,616,534,207,12,41,486,"1,897",,607,573,215,13,42,516,"1,966",,615,588,214,13,40,535,"2,006",,629,588,220,13,40,551,"2,041",,652,582,230,14,42,574,"2,093"
2RVIC,215,21502,215021398,SA2,Mildura Region,424,525,107,7,47,518,"1,628",,397,541,104,8,48,521,"1,619",,374,521,95,8,49,505,"1,552",,361,482,89,7,47,497,"1,484",,350,435,90,6,45,477,"1,404"
2RVIC,215,21502,215021399,SA2,Red Cliffs,719,654,286,12,58,651,"2,380",,716,698,284,12,59,681,"2,450",,724,737,284,11,61,725,"2,542",,738,768,291,12,64,781,"2,654",,765,788,307,11,68,849,"2,787"
2RVIC,215,21502,215021469,SA2,Mildura - North,"1,698","1,948","1,152",120,368,"2,591","7,878",,"1,780","2,099","1,193",126,386,"2,768","8,352",,"1,876","2,219","1,241",129,391,"2,954","8,811",,"1,964","2,317","1,306",133,397,"3,141","9,258",,"2,037","2,398","1,369",135,403,"3,320","9,662"
2RVIC,215,21502,215021470,SA2,Mildura - South,"1,620","1,796",710,66,186,"1,726","6,105",,"1,707","1,977",743,69,198,"1,892","6,588",,"1,830","2,187",788,72,208,"2,107","7,193",,"1,961","2,384",848,77,219,"2,339","7,828",,"2,084","2,570",911,84,236,"2,568","8,453"
2RVIC,215,21503,215031400,SA2,Buloke,634,909,206,22,88,969,"2,827",,588,910,194,23,86,964,"2,765",,535,890,174,23,85,955,"2,663",,491,858,165,22,83,941,"2,559",,459,803,155,19,75,906,"2,416"
2RVIC,215,21503,215031401,SA2,Gannawarra,717,"1,058",196,16,62,906,"2,954",,692,"1,075",181,17,63,916,"2,943",,670,"1,067",179,16,61,935,"2,928",,664,"1,033",179,16,61,934,"2,887",,660,992,181,15,60,921,"2,829"
2RVIC,215,21503,215031402,SA2,Kerang,397,517,154,12,47,654,"1,781",,395,525,151,13,46,680,"1,809",,393,522,149,12,43,691,"1,809",,389,517,147,11,44,706,"1,813",,387,515,148,11,45,713,"1,818"
2RVIC,215,21503,215031403,SA2,Robinvale,379,346,131,17,71,321,"1,265",,376,363,125,16,69,335,"1,282",,365,366,118,16,68,357,"1,291",,357,369,120,17,70,382,"1,314",,353,363,120,17,70,400,"1,322"
2RVIC,215,21503,215031404,SA2,Swan Hill,"1,197","1,291",526,64,201,"1,506","4,786",,"1,227","1,335",538,63,199,"1,568","4,929",,"1,261","1,389",551,63,197,"1,639","5,101",,"1,278","1,453",564,65,201,"1,729","5,290",,"1,286","1,536",576,67,210,"1,827","5,502"
2RVIC,215,21503,215031405,SA2,Swan Hill Region,826,839,188,11,67,665,"2,597",,755,869,180,10,64,671,"2,550",,705,892,175,11,62,689,"2,534",,663,893,180,9,64,710,"2,520",,638,869,174,8,60,726,"2,475"
2RVIC,216,21601,216011406,SA2,Echuca,"1,599","1,879",691,48,201,"1,790","6,209",,"1,572","2,005",687,50,209,"1,909","6,431",,"1,597","2,114",700,52,220,"2,038","6,721",,"1,664","2,198",728,52,229,"2,172","7,043",,"1,748","2,252",761,51,233,"2,294","7,339"
2RVIC,216,21601,216011407,SA2,Kyabram,"1,283","1,385",467,36,84,"1,329","4,585",,"1,260","1,449",458,36,86,"1,382","4,670",,"1,256","1,509",461,36,87,"1,449","4,798",,"1,273","1,547",475,36,90,"1,519","4,940",,"1,297","1,569",491,36,93,"1,573","5,058"
2RVIC,216,21601,216011408,SA2,Lockington - Gunbower,524,532,118,5,18,306,"1,502",,520,561,123,5,19,316,"1,544",,524,573,124,6,19,312,"1,558",,539,573,120,6,20,311,"1,568",,556,563,129,6,20,316,"1,589"
2RVIC,216,21601,216011409,SA2,Rochester,437,565,153,10,31,496,"1,692",,435,586,153,9,34,515,"1,731",,441,592,151,12,33,533,"1,764",,453,585,157,11,34,539,"1,779",,460,572,162,12,36,551,"1,793"
2RVIC,216,21601,216011410,SA2,Rushworth,395,633,188,5,45,580,"1,846",,373,643,183,5,44,597,"1,846",,358,626,175,5,44,615,"1,824",,349,603,172,5,44,628,"1,800",,341,575,177,4,41,630,"1,768"
2RVIC,216,21602,216021411,SA2,Cobram,645,878,284,15,88,903,"2,814",,630,930,282,15,90,970,"2,917",,632,983,286,16,94,"1,054","3,066",,644,"1,023",292,17,96,"1,132","3,203",,657,"1,047",299,16,94,"1,196","3,308"
2RVIC,216,21602,216021412,SA2,Moira,315,408,90,5,23,263,"1,103",,320,431,92,6,30,261,"1,141",,330,427,98,6,30,264,"1,156",,340,419,103,6,30,248,"1,147",,352,398,101,7,30,252,"1,140"
2RVIC,216,21602,216021413,SA2,Numurkah,"1,385","1,567",567,37,124,"1,485","5,165",,"1,326","1,636",561,38,131,"1,542","5,233",,"1,322","1,669",564,38,135,"1,590","5,319",,"1,349","1,657",583,37,137,"1,626","5,389",,"1,388","1,618",602,36,134,"1,650","5,428"
2RVIC,216,21602,216021414,SA2,Yarrawonga,772,"1,244",350,9,85,"1,064","3,524",,820,"1,352",371,10,95,"1,176","3,825",,885,"1,449",393,10,105,"1,292","4,134",,967,"1,528",433,12,116,"1,405","4,462",,"1,053","1,600",474,14,126,"1,507","4,774"
2RVIC,216,21603,216031415,SA2,Mooroopna,752,936,530,26,108,"1,223","3,575",,739,"1,020",528,26,111,"1,313","3,737",,727,"1,089",531,26,113,"1,409","3,894",,726,"1,149",532,26,116,"1,498","4,047",,727,"1,186",536,24,116,"1,577","4,165"
2RVIC,216,21603,216031416,SA2,Shepparton - North,"2,186","1,857","1,000",76,276,"2,241","7,635",,"2,274","2,012","1,041",80,289,"2,406","8,102",,"2,398","2,189","1,109",86,308,"2,622","8,712",,"2,535","2,365","1,184",92,335,"2,864","9,376",,"2,682","2,530","1,253",97,359,"3,092","10,013"
2RVIC,216,21603,216031417,SA2,Shepparton - South,"2,851","2,446","1,062",87,299,"2,324","9,069",,"3,042","2,703","1,126",89,321,"2,556","9,836",,"3,301","2,960","1,208",94,341,"2,849","10,752",,"3,560","3,194","1,314",102,364,"3,152","11,686",,"3,808","3,431","1,424",108,392,"3,453","12,615"
2RVIC,216,21603,216031418,SA2,Shepparton Region - East,580,467,97,17,15,299,"1,475",,546,477,92,17,14,294,"1,440",,528,486,94,17,13,301,"1,439",,525,473,94,16,14,321,"1,443",,533,451,96,15,14,315,"1,424"
2RVIC,216,21603,216031419,SA2,Shepparton Region - West,"1,256","1,216",346,30,106,"1,070","4,024",,"1,239","1,292",353,32,111,"1,127","4,153",,"1,226","1,335",356,32,111,"1,176","4,236",,"1,230","1,351",367,33,110,"1,234","4,326",,"1,245","1,357",385,34,111,"1,277","4,410"
2RVIC,217,21701,217011420,SA2,Glenelg (Vic.),955,"1,293",309,34,85,"1,252","3,928",,883,"1,363",304,34,88,"1,317","3,989",,823,"1,383",292,35,86,"1,366","3,984",,776,"1,344",284,34,78,"1,374","3,890",,720,"1,267",278,34,74,"1,356","3,730"
2RVIC,217,21701,217011421,SA2,Hamilton (Vic.),"1,072","1,340",434,22,114,"1,573","4,554",,"1,054","1,403",423,24,113,"1,638","4,656",,"1,031","1,416",412,23,107,"1,693","4,683",,995,"1,400",404,23,102,"1,735","4,659",,955,"1,375",393,23,104,"1,769","4,619"
2RVIC,217,21701,217011422,SA2,Portland,"1,128","1,395",583,34,146,"1,610","4,896",,"1,053","1,489",556,34,149,"1,704","4,985",,"1,002","1,574",543,35,146,"1,798","5,098",,971,"1,614",534,35,145,"1,898","5,197",,956,"1,623",539,34,148,"1,991","5,291"
2RVIC,217,21701,217011423,SA2,Southern Grampians,766,849,197,8,36,758,"2,614",,724,878,188,7,37,787,"2,621",,678,887,186,8,37,819,"2,614",,640,876,181,8,37,842,"2,584",,619,830,176,8,36,838,"2,505"
2RVIC,217,21703,217031471,SA2,Camperdown,355,492,163,3,33,563,"1,609",,343,511,157,3,32,597,"1,642",,318,503,144,2,28,609,"1,604",,298,496,132,1,29,620,"1,578",,279,473,128,2,30,629,"1,542"
2RVIC,217,21703,217031472,SA2,Colac,"1,296","1,395",576,66,208,"1,822","5,363",,"1,314","1,490",578,67,207,"1,930","5,585",,"1,329","1,575",585,68,206,"2,043","5,805",,"1,348","1,641",598,70,211,"2,149","6,019",,"1,365","1,697",616,72,216,"2,255","6,221"
2RVIC,217,21703,217031473,SA2,Colac Region,653,733,195,24,45,579,"2,229",,630,757,197,25,45,580,"2,233",,610,771,199,24,45,602,"2,252",,604,772,213,24,46,635,"2,294",,612,754,218,22,45,654,"2,304"
2RVIC,217,21703,217031474,SA2,Corangamite - North,594,701,205,12,53,785,"2,350",,556,722,191,13,55,772,"2,309",,537,743,180,13,54,791,"2,317",,537,750,182,14,55,821,"2,358",,544,738,189,13,52,847,"2,384"
